GC1H1TC,2009-10-03T09:58Z,Found it,"001"
GC14AWH,2009-09-27T10:08Z,Found it,"002"
GC1MX2G,2009-10-03T10:46Z,Found it,"003"
GC11ZH5,2009-10-03T15:43Z,Found it,"004"
GC1GVYJ,2009-10-05T08:53Z,Found it,"005"
GC16H37,2009-10-25T12:30Z,Found it,"006"
GCFE73 ,2009-10-28T14:19Z,Found it,"007"
GC13ZE2,2009-10-31T20:40Z,Found it,"008"
GC1CKHG,2009-11-02T20:14Z,Found it,"009"
GCWTMT ,2009-11-04T14:59Z,Found it,"010"
GC1GVYZ,2009-11-05T12:18Z,Found it,"011"
GC1H0ZX,2009-11-05T12:52Z,Found it,"012"
GCHJNP ,2009-11-07T15:18Z,Found it,"013"
GC1BRFC,2009-11-08T10:54Z,Found it,"014"
GC1JGXK,2009-11-10T12:55Z,Found it,"015"
GC1CRDM,2009-11-11T16:28Z,Found it,"016"
GC1XRXH,2009-11-15T09:55Z,Found it,"017"
GC1J9YK,2009-11-15T10:19Z,Found it,"018"
GCG39M, 2009-11-16T21:10Z,Found it,"019"
GC1N4RQ,2009-11-19T12:35Z,Found it,"020"
GC14YWF,2009-11-20T09:15Z,Found it,"021"
GC1BQKP,2009-11-20T13:25Z,Found it,"022"
GC14AWP,2009-11-20T14:04Z,Found it,"023"
GC19NRC,2009-11-22T15:21Z,Found it,"024"
GCWBWD, 2009-11-25T13:25Z,Found it,"025"
GC211TD,2009-11-27T06:49Z,Found it,"026"
GC1T1GQ,2009-11-28T14:52Z,Found it,"027"
GC20MDZ,2009-11-29T13:10Z,Found it,"028"
GC1W0H2,2009-11-30T07:25Z,Found it,"029"
GC1BE37,2009-11-30T07:39Z,Found it,"030"
GC1CB6J,2009-12-02T11:45Z,Found it,"031"
GC16F30,2009-12-02T13:13Z,Found it,"032"
GCN349 ,2009-12-02T14:13Z,Found it,"033"
GC1FB05,2009-12-02T15:05Z,Found it,"034"
GC1BKW4,2009-12-02T15:52Z,Found it,"035"
GC1DVRX,2009-12-03T13:05Z,Found it,"036"
GCMGJN ,2009-12-04T06:43Z,Found it,"037"
GC1P2MJ,2009-12-04T14:11Z,Found it,"038"
GC19D3F,2009-12-04T15:11Z,Found it,"039"
GCTZ9M ,2009-12-05T10:49Z,Found it,"040"
GCV7X2 ,2009-12-05T11:47Z,Found it,"041"
GCTW08 ,2009-12-05T12:01Z,Found it,"042"
GC1HC1K,2009-12-07T14:47Z,Found it,"043"
GC10787,2009-12-08T05:53Z,Found it,"044"
GCZN30 ,2009-12-08T13:38Z,Found it,"045"
GC1A5D8,2009-12-09T14:21Z,Found it,"046"
GC1MHNN,2009-12-09T14:33Z,Found it,"047"
GC1CAYG,2009-12-10T12:17Z,Found it,"048"
GC1MW8H,2009-12-11T12:36Z,Found it,"049"
GC17N5X,2009-12-12T13:43Z,Found it,"050"
GCMKKR ,2009-12-13T10:01Z,Found it,"051"
GC1NAJT,2009-12-13T10:53Z,Found it,"052"
GC16FZ2,2009-12-15T07:29Z,Found it,"053"
GC11T1R,2009-12-15T08:20Z,Found it,"054"
GC11R9K,2009-12-15T09:25Z,Found it,"055"
GC1PHVR,2009-12-15T11:40Z,Found it,"056"
GC1P108,2009-12-16T13:25Z,Found it,"057"
GCZ6NQ ,2009-12-16T17:05Z,Found it,"058"
GC1Y569,2009-12-16T17:06Z,Found it,"059"
GC1NANG,2009-12-17T14:38Z,Found it,"060"
GC1K5DG,2009-12-17T14:46Z,Found it,"061"
GC1E53C,2009-12-18T08:10Z,Found it,"062"
GC20EA4,2009-12-18T18:43Z,Found it,"063"
GC11XQ6,2009-12-21T10:34Z,Found it,"064"
GCN8MW ,2009-12-21T13:41Z,Found it,"065"
GC1CT29,2009-12-26T14:23Z,Found it,"066"
GC1ERZE,2009-12-26T15:05Z,Found it,"067"
GC1G992,2009-12-26T17:57Z,Found it,"068"
GC1YZEB,2009-12-27T11:18Z,Found it,"069"
GC1V76B,2009-12-27T12:09Z,Found it,"070"
GC1PM49,2009-12-27T12:49Z,Found it,"071"
GC1PAN0,2009-12-27T12:50Z,Found it,"072"
GC1BT6G,2009-12-28T11:47Z,Found it,"073"
GC1P0VW,2009-12-28T20:07Z,Found it,"074"
GC16RMK,2009-12-30T12:20Z,Found it,"075"
GCYKTV ,2009-12-31T10:21Z,Found it,"076"
GC13D58,2010-01-02T13:57Z,Found it,"077"
GCN252 ,2010-01-04T19:53Z,Found it,"078"
GC1DWRC,2010-01-06T06:55Z,Found it,"079"
GC1QAJD,2010-01-06T12:21Z,Found it,"080"
GC1DWNH,2010-01-06T13:00Z,Found it,"081"
GC1X7AP,2010-01-07T14:57Z,Found it,"082"
GC18JV5,2010-01-08T08:51Z,Found it,"083"
GCKPJT ,2010-01-08T11:52Z,Found it,"084"
GC1W1FH,2010-01-10T13:09Z,Found it,"085"
GC16C13,2010-01-11T14:14Z,Found it,"086"
GC1BT9N,2010-01-15T12:46Z,Found it,"087"
GC210K6,2010-01-16T14:35Z,Found it,"088"
GC1HKPC,2010-01-17T15:32Z,Found it,"089"
GC1R24T,2010-01-18T10:16Z,Found it,"090"
GCTHDZ ,2010-01-18T10:52Z,Found it,"091"
GC1WH4D,2010-01-18T12:38Z,Found it,"092"
GC1RDMZ,2010-01-19T09:34Z,Found it,"093"
